sadness,joy,fear,disgust,anger,score,label_state
0.165185,0.130681,0.108193,0.061923,0.123759,0,1
0.244071,0.049281,0.054763,0.707102,0.169091,-0.643848,1
0.10007,0.445897,0.100891,0.045032,0.092697,0.979367,1
0.072914,0.770061,0.005857,0.005977,0.008937,0.976681,1
0.802356,0.03181,0.018804,0.123551,0.104073,-0.64585,1
0.158989,0.188166,0.102102,0.06399,0.358104,-0.661199,1
0.00714,0.793156,0.013334,0.001047,0.007796,0.997539,1
0.260971,0.311297,0.150017,0.19197,0.082172,0.608562,1
0.752226,0.028264,0.102003,0.038934,0.088384,-0.83022,0
0.019634,0.51677,0.012902,0.020724,0.027902,0.751145,1
0.054972,0.650018,0.030036,0.019509,0.013889,0.914101,1
0.083671,0.248506,0.07429,0.363959,0.063813,0.817853,1
0.09372,0.549081,0.039437,0.006043,0.009449,0.488172,1
0.010059,0.870064,0.011292,0.108393,0.014793,0.996211,1
0.068887,0.518499,0.045806,0.019323,0.056389,0.778476,1
0.314714,0.11527,0.346581,0.053493,0.210271,-0.943673,0
0.104257,0.515566,0.162153,0.019878,0.225158,0.748368,1
0.083197,0.401106,0.087344,0.211912,0.108978,0,1
0.297035,0.34709,0.204101,0.026898,0.215823,0.315397,1
0.251129,0.282175,0.045069,0.033198,0.081412,-0.820263,1
0.047645,0.717518,0.010368,0.005322,0.02608,0.979173,1
0.189903,0.170763,0.116593,0.062588,0.149564,0.873745,1
0.021847,0.835944,0.037274,0.011968,0.014611,0.976492,1
0.699835,0.015103,0.064192,0.190936,0.244996,-0.944924,0
0.573294,0.105639,0.154209,0.009814,0.092131,-0.746293,1
0.079894,0.71473,0.098189,0.023337,0.090381,0.736801,1
0.313709,0.04189,0.0562,0.030809,0.015451,0,1
0.513631,0.176642,0.044436,0.027151,0.12207,-0.741766,1
0.192925,0.677842,0.055601,0.019188,0.046026,0.953327,1
0.274035,0.102486,0.050008,0.044842,0.045533,0.887183,1
0.269188,0.011735,0.102932,0.091517,0.091103,0,1
0.084733,0.643834,0.03404,0.028864,0.018401,0.962818,1
0.056117,0.175723,0.077565,0.010613,0.022404,0,1
0.526282,0.04724,0.202479,0.101816,0.233665,-0.885338,0
0.06867,0.528298,0.212349,0.018716,0.076501,0.927728,1
0.638943,0.018603,0.0729,0.137368,0.344133,-0.586689,1
0.357687,0.061604,0.003422,0.022546,0.041846,-0.919944,1
0.916667,0,0,0.931034,0.931034,-0.990397,0
0.609217,0.064413,0.087582,0.16479,0.35373,-0.813501,0
0.125492,0.245363,0.140101,0.112696,0.062502,0.852225,1
0.168721,0.033784,0.106877,0.109713,0.779329,-0.715695,1
0.716475,0.012956,0.249682,0.141519,0.101033,-0.95915,0
0.216191,0.05707,0.021804,0.057153,0.042791,0,1
0.506751,0.125718,0.245852,0.125554,0.230893,-0.850593,0
